period_label,period_start,period_end,cprt_volume_yoy,rba_volume_yoy,source,note
May-Jun 2025,2025-05-01,2025-06-30,-4.1,3.2,Barclays US Auto Retail 2Q26 Preview 21-Jul-2026 citing industry data,Prior-year base for the May-Jun 2026 comparison
May-Jun 2026,2026-05-01,2026-06-30,-1.4,14.9,Barclays US Auto Retail 2Q26 Preview 21-Jul-2026 citing industry data,Barclays: decline for CPRT comes even as comps are relatively easy
