carrier,period,auto_policies_thousands,prior_year_thousands,source_url,policy_growth_pct
Progressive,2026-06-30,27932,25668,https://investor.progressive.com/financials/financial-news-releases/news-details/2026/Progressive-Reports-June-2026-Results/default.aspx,8.82032102228456
Allstate Protection,2026-06-30,25951,25243,https://www.sec.gov/Archives/edgar/data/899051/000089905126000117/allcorp63026earningsreleas.htm,2.804737947153657
Progressive,2026-08-31,28222,26099,https://www.sec.gov/Archives/edgar/data/80661/000008066126000322/pgr202608ex99earningsrelea.htm,8.134411280125686
