model,n_test,mae,rmse,bias
Spread + trend,15.0,1.6867850649,2.017606833086567,-0.48388634270999
Trend only,15.0,1.8095361503362366,2.0361981340480013,-1.066309437849169
Last available actual,15.0,1.3,1.6093476939431084,-0.5400000000000001
